# pfam_scan.pl,  run at Fri Feb 12 16:24:40 2016
#
# Copyright (c) 2009 Genome Research Ltd
# Freely distributed under the GNU 
# General Public License
#
# Authors: Jaina Mistry (jm14@sanger.ac.uk), John Tate (jt6@sanger.ac.uk), 
#          Rob Finn (rdf@sanger.ac.uk)
#
# This is free software; you can redistribute it and/or modify it under
# the terms of the GNU General Public License as published by the Free Software
# Foundation; either version 2 of the License, or (at your option) any later version.
# This program is distributed in the hope that it will be useful, but WITHOUT
# ANY WARRANTY; without even the implied warranty of MERCHANTABILITY or FITNESS
# FOR A PARTICULAR PURPOSE. See the GNU General Public License for more
# details.
#
# You should have received a copy of the GNU General Public License along with
# this program. If not, see <http://www.gnu.org/licenses/>. 
# = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = =
#      query sequence file: /home/wonjunetai/Documents/KimLab/pulse/output/preprocess/G41726.MCF7.5.bam/p_seq_isoforms.fas
#        searching against: /usr/local/bin/hmmer3/data/Pfam-A.hmm, with cut off --cut_ga
#    resolve clan overlaps: on
#     predict active sites: off
# = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = =
#
# <seq id> <alignment start> <alignment end> <envelope start> <envelope end> <hmm acc> <hmm name> <type> <hmm start> <hmm end> <hmm length> <bit score> <E-value> <significance> <clan>

I."ENST00000498666";21_46323280_46323450-242=171=181        43     87     43     88 PF08725.6   Integrin_b_cyt    Domain     1    46    47     66.6   8.5e-19   1 No_clan  
I."ENST00000357210";1_1562030_1562134-108=105=163          127    195    127    195 PF06701.8   MIB_HERC2         Domain     1    68    68     98.5   1.5e-28   1 No_clan  
I."ENST00000357210";1_1562030_1562134-108=105=163          202    237    200    243 PF00569.12  ZZ                Domain     3    40    46     30.8   1.5e-07   1 CL0006   
I."ENST00000357210";1_1562030_1562134-108=105=163          275    340    275    342 PF06701.8   MIB_HERC2         Domain     1    66    68     84.2   4.5e-24   1 No_clan  
I."ENST00000357210";1_1562030_1562134-108=105=163          566    620    566    620 PF13857.1   Ank_5             Domain     1    56    56     31.7   1.2e-07   1 CL0465   
I."ENST00000357210";1_1562030_1562134-108=105=163          624    703    624    712 PF12796.2   Ank_2             Family     8    81    89     51.3     1e-13   1 CL0465   
I."ENST00000357210";1_1562030_1562134-108=105=163          716    769    715    769 PF13637.1   Ank_4             Domain     2    54    54     26.3   7.4e-06   1 CL0465   
I."ENST00000357210";1_1562030_1562134-108=105=163          774    828    771    834 PF12796.2   Ank_2             Family    21    71    89     37.0   3.1e-09   1 CL0465   
I."ENST00000357210";1_1562030_1562134-108=105=163          945    987    943    988 PF13920.1   zf-C3HC4_3        Domain     3    49    50     27.7   1.5e-06   1 CL0229   
I."ENST00000357210";1_1562030_1562134-108=105=163         1024   1064   1022   1065 PF13920.1   zf-C3HC4_3        Domain     3    49    50     33.1   3.1e-08   1 CL0229   
I."ENST00000541176";20_34220717_34220845-180=129=143        12     97      8     98 PF00168.25  C2                Domain     6    84    85     36.4   3.3e-09   1 CL0154   
I."ENST00000466268";10_51550041_51550174-35=134=106          1     76      1     76 PF05825.6   PSP94             Domain    19    94    94    132.1   6.1e-39   1 CL0451   
E."ENST00000474170";10_51550041_51550174-35=134=106         21     71     21     72 PF05825.6   PSP94             Domain     1    51    94     77.7   5.7e-22   1 CL0451   
E."ENST00000572467";16_4411750_4411804-109=55=176           70    105     67    106 PF00400.27  WD40              Repeat     4    38    39     31.6   9.5e-08   1 CL0186   
E."ENST00000572467";16_4411750_4411804-109=55=176          159    196    158    196 PF00400.27  WD40              Repeat     2    39    39     18.4    0.0014   1 CL0186   
E."ENST00000572467";16_4411750_4411804-109=55=176          252    385    251    385 PF08954.6   DUF1900           Domain     2   136   136    129.7   4.7e-38   1 CL0186   
E."ENST00000572467";16_4411750_4411804-109=55=176          543    572    536    573 PF00400.27  WD40              Repeat     9    38    39     18.7    0.0011   1 CL0186   
E."ENST00000572467";16_4411750_4411804-109=55=176          586    623    584    623 PF00400.27  WD40              Repeat     3    39    39     35.5   5.5e-09   1 CL0186   
E."ENST00000572467";16_4411750_4411804-109=55=176          632    664    630    665 PF00400.27  WD40              Repeat     6    38    39     34.4   1.2e-08   1 CL0186   
E."ENST00000572467";16_4411750_4411804-109=55=176          721    857    721    857 PF08954.6   DUF1900           Domain     1   136   136    167.3   1.1e-49   1 CL0186   
E."ENST00000572467";16_4411750_4411804-109=55=176          925   1048    924   1048 PF03656.8   Pam16             Family     2   127   127    199.2   1.6e-59   1 CL0392   
I."ENST00000428599";11_57558857_57559145-250=289=72        398    436    397    437 PF00514.18  Arm               Repeat     2    40    41     25.0   1.1e-05   1 CL0020   
I."ENST00000428599";11_57558857_57559145-250=289=72        440    481    440    481 PF00514.18  Arm               Repeat     1    41    41     30.7   1.8e-07   1 CL0020   
I."ENST00000428599";11_57558857_57559145-250=289=72        697    732    695    733 PF00514.18  Arm               Repeat     5    40    41     25.0   1.1e-05   1 CL0020   
I."ENST00000343305";5_35873582_35873750-158=169=76         131    218    130    218 PF00041.16  fn3               Domain     2    85    85     34.8   1.3e-08   1 CL0159   
E."ENST00000442759";13_78317151_78317300-140=150=150         2    200      1    205 PF15301.1   SLAIN             Family    35   229   371    265.3     9e-79   1 No_clan  
I."ENST00000351154";16_16180681_16180848-127=168=184       326    596    325    596 PF00664.18  ABC_membrane      Family     2   275   275    175.8   1.2e-51   1 CL0241   
I."ENST00000351154";16_16180681_16180848-127=168=184       661    706    661    708 PF00005.22  ABC_tran          Domain     1    46   137     33.2   5.1e-08   1 CL0023   
I."ENST00000351154";16_16180681_16180848-127=168=184       707    736    702    737 PF00005.22  ABC_tran          Domain   107   136   137     27.8   2.4e-06   1 CL0023   
I."ENST00000351154";16_16180681_16180848-127=168=184       913   1187    913   1189 PF00664.18  ABC_membrane      Family     1   273   275    156.6   8.2e-46   1 CL0241   
