name
I."ENST00000498666";21_46323280_46323450-242=171=181//P05107
I."ENST00000403298";6_41658401_41658655-81=255=235//P19484
I."ENST00000357210";1_1560926_1561033-143=108=105//Q96AX9
I."ENST00000357210";1_1562030_1562134-108=105=163//Q96AX9
I."ENST00000431540";16_83065615_83065823-112=209=117//P55290
I."ENST00000293068";17_37948926_37949186-168=261=102//Q9UKT9
I."ENST00000377945";17_37985640_37985741-261=102=54//Q9UKT9
I."ENST00000377944";17_37944511_37944627-117=117=102//Q9UKT9
I."ENST00000293068";17_37947669_37947836-117=168=261//Q9UKT9
I."ENST00000377958";17_37947669_37947836-117=168=102//Q9UKT9
I."ENST00000377958";17_37944511_37944627-117=117=168//Q9UKT9
I."ENST00000369326";3_170846503_170846667-240=165=189//Q9UKE5
I."ENST00000410100";11_134183290_134183368-72=79=88//Q8NCI6
I."ENST00000541176";20_34220717_34220845-180=129=143//Q99829
I."ENST00000466268";10_51550041_51550174-35=134=106//P08118
I."ENST00000478719";10_51553249_51553348-134=100=106//P08118
I."ENST00000431808";4_186572938_186572982-190=45=67//P28220
I."ENST00000431808";4_186605908_186606000-27=93=140//Q3UTJ2
I."ENST00000376656";6_30308049_30308138-23=90=116//Q9HCM9
I."ENST00000338608";11_61253816_61253875-113=60=87//Q7Z5V6
I."ENST00000334914";7_104750924_104751049-89=126=98//Q8IZD2
I."ENST00000397358";8_28904875_28904970-83=96=95//Q6NT76
I."ENST00000382431";Y_25385357_25385428-72=72=72//Q9NR90
I."ENST00000382431";Y_25390137_25390208-72=72=72//Q9NR90
I."ENST00000350060";X_153176376_153176453-135=78=61//P98171
I."ENST00000333936";9_96320863_96321000-184=138=142//Q9NZB2
I."ENST00000428599";11_57558857_57559145-250=289=72//O60716
I."ENST00000399050";11_57573933_57573950-154=18=69//O60716
I."ENST00000399050";11_57583387_57583473-107=87=2882//O60716
I."ENST00000399050";11_57581783_57581845-88=63=107//O60716
I."ENST00000336307";3_50331063_50331152-685=90=911//O43820
I."ENST00000343305";5_35873582_35873750-158=169=76//P16871
I."ENST00000354566";11_85422156_85422275-170=120=95//Q9HCH5
I."ENST00000432615";7_158443524_158443664-104=141=188//Q86XI2
I."ENST00000414986";10_99150180_99150296-136=117=84//Q5JTH9
I."ENST00000375030";10_32983807_32983920-111=114=111//Q9H943
I."ENST00000351154";16_16180681_16180848-127=168=184//P33527
I."ENST00000345148";16_16180681_16180848-177=168=184//P33527
I."ENST00000349029";16_16232221_16232415-167=195=1902//P33527
I."ENST00000345148";16_16177223_16177399-127=177=168//P33527
I."ENST00000398973";10_71657231_71657287-27=57=66//Q5TAT6
I."ENST00000398969";10_71700744_71700779-81=36=54//Q5TAT6
I."ENST00000398968";10_71634884_71634919-35=36=51//Q5TAT6
I."ENST00000526187";6_135511265_135511485-93=221=235//P10242
I."ENST00000525514";6_135520664_135520719-143=56=115//P10242
I."ENST00000531634";6_135522777_135522887-126=111=108//P10242
I."ENST00000531634";6_135508972_135509043-118=72=93//P10242
I."ENST00000528140";6_135517864_135518046-170=183=143//P10242
I."ENST00000529262";6_135517864_135518461-170=598=143//P10242
I."ENST00000534044";6_135515494_135515598-81=105=255//P10242
I."ENST00000526889";6_135515494_135515589-81=96=255//P10242
I."ENST00000526565";6_135516098_135516219-96=122=255//P10242
I."ENST00000534044";6_135516886_135517140-105=255=143//P10242
I."ENST00000525940";6_135516886_135517055-105=170=143//P10242
I."ENST00000353930";7_24902819_24902911-157=93=104//Q9H4L5
I."ENST00000352860";7_24888688_24888795-135=108=131//Q9H4L5
I."ENST00000508946";4_62894573_62894599-92=27=169//Q80TS3
I."ENST00000400366";13_52523798_52523932-195=135=155//P35670
I."ENST00000488877";10_90771756_90771838-63=83=25//P25445
I."ENST00000494410";10_90767457_90767594-166=138=62//P25445
I."ENST00000488877";10_90770510_90770572-62=63=83//P25445
I."ENST00000448924";1_1026256_1026363-76=108=94//Q96HA4
I."ENST00000336832";3_9918750_9918903-159=154=78//Q96AQ7
I."ENST00000379807";5_101813380_101813565-97=186=258//Q86UG4
I."ENST00000367170";1_204946809_204946853-125=45=102//O94856
I."ENST00000367172";1_204966298_204966534-11=237=117//O94856
I."ENST00000339876";1_204919685_204919702-181=18=106//O94856
I."ENST00000338586";1_204971724_204971876-174=153=132//O94856
I."ENST00000485199";3_179597717_179597911-124=195=112//Q8IYB4
