index,transcript,protein,probability
1,ENST00000380816,Q7Z5P9,0.211
2,ENST00000420031,Q3BBV0,0.2131
3,ENST00000435957,Q8IYW2,0.3341
4,ENST00000592836,Q8WZ42,0.3531
5,ENST00000414964,Q02505,0.3549
6,ENST00000590807,Q8WZ42,0.3672
7,ENST00000599436,Q8WXI7,0.3715
8,ENST00000492965,A2VEC9,0.374
9,ENST00000492965,A2VEC9,0.3907
10,ENST00000488835,A2VEC9,0.3923
11,ENST00000601404,Q8WXI7,0.396
12,ENST00000588716,Q8WZ42,0.3969
13,ENST00000450692,Q8WZ42,0.4044
14,ENST00000450692,Q8WZ42,0.41
15,ENST00000592928,O75771,0.4112
16,ENST00000525515,Q2T9P4,0.4233
17,ENST00000557340,O14647,0.4256
18,ENST00000592928,O75771,0.4295
19,ENST00000562437,Q8IX07,0.4488
20,ENST00000345877,P46936,0.4549
21,ENST00000432686,P46939,0.4569
22,ENST00000506313,Q13508,0.4577
23,ENST00000433404,Q5R452,0.4587
24,ENST00000431008,Q9MYX8,0.4606
25,ENST00000415613,Q5YCW1,0.4643
26,ENST00000461331,A2VEC9,0.466
27,ENST00000432949,Q3BBV0,0.4708
28,ENST00000376138,Q9QZM5,0.4717
29,ENST00000376134,Q9QZM5,0.472
30,ENST00000444181,P21359,0.4739
31,ENST00000541792,Q5RCA7,0.4782
32,ENST00000581790,P21359,0.4783
33,ENST00000466819,P21359,0.4785
34,ENST00000568914,Q99104,0.4821
35,ENST00000524396,Q5T8R8,0.483
36,ENST00000518273,Q99NE5,0.483
37,ENST00000376134,Q9QZM5,0.4853
38,ENST00000420596,P11532,0.4855
39,ENST00000526040,P18653,0.4873
40,ENST00000391970,P08575,0.4875
41,ENST00000466947,Q7Z7G0,0.4883
42,ENST00000431808,P28220,0.4887
43,ENST00000445668,Q9NSI6,0.4908
44,ENST00000468719,Q8NHU2,0.4918
45,ENST00000463504,Q9BXB5,0.4934
46,ENST00000431008,Q9MYX8,0.4943
47,ENST00000382659,A6NEQ0,0.495
48,ENST00000382680,A6NEQ0,0.4953
49,ENST00000344290,Q5YCW1,0.4954
50,ENST00000463216,P53804,0.4961
51,ENST00000476414,Q8NHU2,0.4964
52,ENST00000347967,Q9MYX8,0.4966
53,ENST00000399228,Q99104,0.4968
54,ENST00000454978,Q15415,0.4977
55,ENST00000535861,O15231,0.4987
56,ENST00000421689,P49342,0.4991
